customer_id,customer_name,email,phone,city
1,Customer_1,customer1@example.com,555-01001,City_2
2,Customer_2,customer2@example.com,555-01002,City_3
3,Customer_3,customer3@example.com,555-01003,City_4
4,Customer_4,customer4@example.com,555-01004,City_5
5,Customer_5,customer5@example.com,555-01005,City_6
6,Customer_6,customer6@example.com,555-01006,City_7
7,Customer_7,customer7@example.com,555-01007,City_8
8,Customer_8,customer8@example.com,555-01008,City_9
9,Customer_9,customer9@example.com,555-01009,City_10
10,Customer_10,customer10@example.com,555-01010,City_1
11,Customer_11,customer11@example.com,555-01011,City_2
12,Customer_12,customer12@example.com,555-01012,City_3
13,Customer_13,customer13@example.com,555-01013,City_4
14,Customer_14,customer14@example.com,555-01014,City_5
15,Customer_15,customer15@example.com,555-01015,City_6
16,Customer_16,customer16@example.com,555-01016,City_7
17,Customer_17,customer17@example.com,555-01017,City_8
18,Customer_18,customer18@example.com,555-01018,City_9
19,Customer_19,customer19@example.com,555-01019,City_10
20,Customer_20,customer20@example.com,555-01020,City_1
21,Customer_21,customer21@example.com,555-01021,City_2
22,Customer_22,customer22@example.com,555-01022,City_3
23,Customer_23,customer23@example.com,555-01023,City_4
24,Customer_24,customer24@example.com,555-01024,City_5
25,Customer_25,customer25@example.com,555-01025,City_6
26,Customer_26,customer26@example.com,555-01026,City_7
27,Customer_27,customer27@example.com,555-01027,City_8
28,Customer_28,customer28@example.com,555-01028,City_9
29,Customer_29,customer29@example.com,555-01029,City_10
30,Customer_30,customer30@example.com,555-01030,City_1
31,Customer_31,customer31@example.com,555-01031,City_2
32,Customer_32,customer32@example.com,555-01032,City_3
33,Customer_33,customer33@example.com,555-01033,City_4
34,Customer_34,customer34@example.com,555-01034,City_5
35,Customer_35,customer35@example.com,555-01035,City_6
36,Customer_36,customer36@example.com,555-01036,City_7
37,Customer_37,customer37@example.com,555-01037,City_8
38,Customer_38,customer38@example.com,555-01038,City_9
39,Customer_39,customer39@example.com,555-01039,City_10
40,Customer_40,customer40@example.com,555-01040,City_1
41,Customer_41,customer41@example.com,555-01041,City_2
42,Customer_42,customer42@example.com,555-01042,City_3
43,Customer_43,customer43@example.com,555-01043,City_4
44,Customer_44,customer44@example.com,555-01044,City_5
45,Customer_45,customer45@example.com,555-01045,City_6
46,Customer_46,customer46@example.com,555-01046,City_7
47,Customer_47,customer47@example.com,555-01047,City_8
48,Customer_48,customer48@example.com,555-01048,City_9
49,Customer_49,customer49@example.com,555-01049,City_10
50,Customer_50,customer50@example.com,555-01050,City_1
